="基准模型回归结果"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)"
="",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)"
="pargage_all",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",=""
="pargage_fa",="",="",="",="",="",="",="",="",="0.168***",="",="0.127***"
="",="",="",="",="",="",="",="",="",="(3.49)",="",="(2.92)"
="pargage_mo",="",="",="",="",="",="",="",="0.164***",="",="0.182***",=""
="",="",="",="",="",="",="",="",="(3.94)",="",="(4.23)",=""
="peer_gender",="",="",="",="1.930*",="",="",="",="",="",="",=""
="",="",="",="",="(1.75)",="",="",="",="",="",="",=""
="是否上过幼儿园(是=1)",="0.363*",="0.379*",="0.353*",="0.369*",="0.363*",="0.379*",="0.353*",="",="",="",=""
="",="(1.95)",="(1.98)",="(1.83)",="(1.92)",="(1.95)",="(1.98)",="(1.83)",="",="",="",=""
="peer_kindergarten",="-0.511",="-0.521",="-0.832",="-0.441",="-0.511",="-0.521",="-0.832",="",="",="",=""
="",="(0.56)",="(0.56)",="(0.85)",="(0.50)",="(0.56)",="(0.56)",="(0.85)",="",="",="",=""
="是否女生(是=1)",="",="-0.620***",="-0.630***",="-0.595***",="",="-0.620***",="-0.630***",="0.000",="0.000",="0.000",="0.000"
="",="",="(4.59)",="(4.69)",="(4.40)",="",="(4.59)",="(4.69)",="(.)",="(.)",="(.)",="(.)"
="年龄",="",="0.066",="0.092",="0.091",="",="0.066",="0.092",="-0.065",="0.124",="0.002",="0.090"
="",="",="(0.65)",="(0.90)",="(0.89)",="",="(0.65)",="(0.90)",="(0.35)",="(0.48)",="(0.01)",="(0.45)"
="是否流动人口(是=1)",="",="-0.045",="0.106",="0.102",="",="-0.045",="0.106",="-0.619",="1.055",="0.447",="-0.461"
="",="",="(0.24)",="(0.31)",="(0.30)",="",="(0.24)",="(0.31)",="(0.98)",="(0.99)",="(0.63)",="(0.62)"
="是否少数民族(是=1)",="",="0.389",="0.358",="0.359",="",="0.389",="0.358",="0.320",="0.325",="1.069*",="-0.113"
="",="",="(1.51)",="(1.40)",="(1.39)",="",="(1.51)",="(1.40)",="(0.69)",="(0.60)",="(1.88)",="(0.14)"
="是否农村户口(是=1)",="",="0.291*",="0.418**",="0.437***",="",="0.291*",="0.418**",="0.382",="0.545",="0.427",="0.416"
="",="",="(1.71)",="(2.56)",="(2.68)",="",="(1.71)",="(2.56)",="(1.09)",="(1.41)",="(1.08)",="(1.16)"
="兄妹数量",="",="0.005",="0.050",="0.054",="",="0.005",="0.050",="0.201",="-0.306",="0.176",="0.271"
="",="",="(0.05)",="(0.47)",="(0.50)",="",="(0.05)",="(0.47)",="(0.98)",="(1.29)",="(0.72)",="(1.28)"
="家长是否移民(是=1)",="",="",="-0.139",="-0.120",="",="",="-0.139",="0.268",="-1.002",="-0.596",="0.506"
="",="",="",="(0.44)",="(0.38)",="",="",="(0.44)",="(0.42)",="(0.85)",="(0.86)",="(0.74)"
="家长受教育年限",="",="",="0.063**",="0.065**",="",="",="0.063**",="-0.019",="-0.013",="0.160**",="0.028"
="",="",="",="(2.04)",="(2.10)",="",="",="(2.04)",="(0.38)",="(0.19)",="(2.57)",="(0.40)"
="家长是否党员(是=1)",="",="",="0.161",="0.157",="",="",="0.161",="0.042",="0.502",="-0.105",="0.128"
="",="",="",="(0.81)",="(0.79)",="",="",="(0.81)",="(0.12)",="(1.10)",="(0.23)",="(0.36)"
="家长经济条件",="",="",="0.197",="0.195",="",="",="0.197",="0.315",="-0.061",="-0.051",="0.561**"
="",="",="",="(1.38)",="(1.37)",="",="",="(1.38)",="(1.09)",="(0.22)",="(0.17)",="(2.23)"
="家长职业得分",="",="",="0.002",="0.001",="",="",="0.002",="0.004",="0.011",="-0.004",="-0.001"
="",="",="",="(0.41)",="(0.30)",="",="",="(0.41)",="(0.61)",="(0.99)",="(0.40)",="(0.10)"
="ClassSize",="",="",="0.018",="0.001",="",="",="0.018",="-0.041",="0.035",="0.053",="0.004"
="",="",="",="(1.24)",="(0.07)",="",="",="(1.24)",="(1.11)",="(0.91)",="(1.17)",="(0.15)"
="peer_migrant",="",="",="",="-1.075",="",="",="",="",="",="",=""
="",="",="",="",="(1.30)",="",="",="",="",="",="",=""
="peer_primary_skip",="",="",="",="-13.099***",="",="",="",="",="",="",=""
="",="",="",="",="(3.16)",="",="",="",="",="",="",=""
="peer_college_pare",="",="",="",="0.129",="",="",="",="",="",="",=""
="",="",="",="",="(0.10)",="",="",="",="",="",="",=""
="常数项",="2.405***",="1.604",="-0.722",="-0.987",="2.405***",="1.604",="-0.722",="3.309",="-1.941",="-1.473",="-1.006"
="",="(3.07)",="(1.02)",="(0.44)",="(0.56)",="(3.07)",="(1.02)",="(0.44)",="(0.95)",="(0.42)",="(0.32)",="(0.30)"
="Observations",="5976",="5976",="5976",="5976",="5976",="5976",="5976",="1705",="1167",="1396",="1356"
="Adjusted R-squared",="0.057",="0.061",="0.062",="0.064",="0.057",="0.061",="0.062",="0.097",="0.055",="0.060",="0.043"
="Absolute t statistics in parentheses"
