="ES对PA"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)"
="emo_all",="0.225***",="",="",="",=""
="",="(12.24)",="",="",="",=""
="emo_mo",="",="0.185***",="",="0.150***",=""
="",="",="(7.39)",="",="(6.13)",=""
="emo_fa",="",="",="0.158***",="",="0.166***"
="",="",="",="(7.47)",="",="(7.33)"
="Observations",="5976",="3046",="3046",="2930",="2930"
="Adjusted R-squared",="0.084",="0.088",="0.085",="0.061",="0.066"
="Absolute t statistics in parentheses"
