="PS对PA"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)"
="style_all",="0.034***",="",="",="",=""
="",="(3.80)",="",="",="",=""
="style_mo",="",="0.032*",="",="0.044**",=""
="",="",="(1.98)",="",="(2.60)",=""
="style_fa",="",="",="0.043**",="",="0.017"
="",="",="",="(2.03)",="",="(0.95)"
="Observations",="5976",="1705",="1167",="1396",="1356"
="Adjusted R-squared",="0.064",="0.090",="0.048",="0.052",="0.037"
="Absolute t statistics in parentheses"
