="PS_sub对PA"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)"
="responsiveness_all",="0.479***",="",="",="",="",="",="",="",="",=""
="",="(4.99)",="",="",="",="",="",="",="",="",=""
="responsiveness_mo",="",="0.535**",="",="0.724***",="",="",="",="",="",=""
="",="",="(2.59)",="",="(3.97)",="",="",="",="",="",=""
="responsiveness_fa",="",="",="0.340*",="",="0.189",="",="",="",="",=""
="",="",="",="(1.71)",="",="(1.10)",="",="",="",="",=""
="demandingness_all",="",="",="",="",="",="0.150",="",="",="",=""
="",="",="",="",="",="",="(1.51)",="",="",="",=""
="demandingness_mo",="",="",="",="",="",="",="0.066",="",="0.116",=""
="",="",="",="",="",="",="",="(0.42)",="",="(0.64)",=""
="demandingness_fa",="",="",="",="",="",="",="",="0.457*",="",="0.120"
="",="",="",="",="",="",="",="",="(1.89)",="",="(0.58)"
="Observations",="5862",="1673",="1145",="1373",="1329",="5807",="1666",="1135",="1353",="1313"
="Adjusted R-squared",="0.067",="0.098",="0.044",="0.060",="0.038",="0.062",="0.090",="0.044",="0.053",="0.034"
="Absolute t statistics in parentheses"
