="PCI对PA"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)",="每周锻炼时间(ln)"
="亲子互动",="0.687***",="",="",="",=""
="",="(6.48)",="",="",="",=""
="interaction_mo",="",="1.180***",="",="0.709***",=""
="",="",="(5.83)",="",="(3.06)",=""
="interaction_fa",="",="",="0.308",="",="0.260"
="",="",="",="(1.16)",="",="(1.48)"
="Observations",="5976",="3046",="3046",="2930",="2930"
="Adjusted R-squared",="0.068",="0.080",="0.070",="0.051",="0.048"
="Absolute t statistics in parentheses"
